2018.07.31 22:06:03.001 MSK INFO: *** SYSTEM START *** -- SystemUtilities.logSystemInfo()
2018.07.31 22:06:03.005 MSK CONFIG: Protege 3.5 Build 663, JVM 1.8.0_31-b13, memory=1908M, Mac OS X, encoding=UTF-8, language=en, country=US -- SystemUtilities.logSystemInfo()
2018.07.31 22:06:03.007 MSK WARNING: Plugins directory not found: /Users/ru/clojure/simpro-scene/plugins -- PluginUtilities.findPluginsDirectory()
2018.07.31 22:06:06.370 MSK WARNING: missing bundle: protege_text -- BundleHelper.<init>()
2018.07.31 22:06:11.825 MSK INFO: Loaded 5000 instances: ScenarioN_ProjectKB_Class72426 -- Parser.getInstance()
2018.07.31 22:06:11.831 MSK INFO: Loaded 6000 instances: ScenarioN_ProjectKB_Class83426 -- Parser.getInstance()
2018.07.31 22:06:11.852 MSK INFO: Set type on 5000 instances: ScenarioN_ProjectKB_Class83146 -- Parser.getInstance()
2018.07.31 22:06:11.873 MSK INFO: Set type on 6000 instances: ScenarioN_ProjectKB_Class91405 -- Parser.getInstance()
2018.07.31 22:06:13.806 MSK INFO: Loaded 5000 instances: RasterToVector_Class124984 -- Parser.getInstance()
2018.07.31 22:06:13.849 MSK INFO: Loaded 6000 instances: RasterToVector_Class125984 -- Parser.getInstance()
2018.07.31 22:06:13.900 MSK INFO: Loaded 7000 instances: RasterToVector_Class126984 -- Parser.getInstance()
2018.07.31 22:06:13.950 MSK INFO: Loaded 8000 instances: RasterToVector_Class127984 -- Parser.getInstance()
2018.07.31 22:06:14.004 MSK INFO: Loaded 9000 instances: RasterToVector_Class128984 -- Parser.getInstance()
2018.07.31 22:06:14.047 MSK INFO: Loaded 10000 instances: RasterToVector_Class129984 -- Parser.getInstance()
2018.07.31 22:06:14.095 MSK INFO: Loaded 11000 instances: RasterToVector_Class130984 -- Parser.getInstance()
2018.07.31 22:06:14.141 MSK INFO: Loaded 12000 instances: RasterToVector_Class131984 -- Parser.getInstance()
2018.07.31 22:06:14.201 MSK INFO: Loaded 13000 instances: RasterToVector_Class132984 -- Parser.getInstance()
2018.07.31 22:06:14.250 MSK INFO: Loaded 14000 instances: RasterToVector_Class133984 -- Parser.getInstance()
2018.07.31 22:06:14.303 MSK INFO: Loaded 15000 instances: RasterToVector_Class134984 -- Parser.getInstance()
2018.07.31 22:06:15.417 MSK INFO: Loaded 16000 instances: RasterToVector_Class135984 -- Parser.getInstance()
2018.07.31 22:06:15.463 MSK INFO: Loaded 17000 instances: RasterToVector_Class136984 -- Parser.getInstance()
2018.07.31 22:06:15.517 MSK INFO: Loaded 18000 instances: RasterToVector_Class137984 -- Parser.getInstance()
2018.07.31 22:06:15.564 MSK INFO: Loaded 19000 instances: RasterToVector_Class138984 -- Parser.getInstance()
2018.07.31 22:06:15.610 MSK INFO: Loaded 20000 instances: RasterToVector_Class139984 -- Parser.getInstance()
2018.07.31 22:06:15.657 MSK INFO: Loaded 21000 instances: RasterToVector_Class140984 -- Parser.getInstance()
2018.07.31 22:06:15.707 MSK INFO: Loaded 22000 instances: RasterToVector_Class141984 -- Parser.getInstance()
2018.07.31 22:06:15.751 MSK INFO: Loaded 23000 instances: RasterToVector_Class142984 -- Parser.getInstance()
2018.07.31 22:06:15.801 MSK INFO: Loaded 24000 instances: RasterToVector_Class143984 -- Parser.getInstance()
2018.07.31 22:06:15.870 MSK INFO: Loaded 25000 instances: RasterToVector_Class144984 -- Parser.getInstance()
2018.07.31 22:06:15.917 MSK INFO: Loaded 26000 instances: RasterToVector_Class145984 -- Parser.getInstance()
2018.07.31 22:06:15.968 MSK INFO: Loaded 27000 instances: RasterToVector_Class146984 -- Parser.getInstance()
2018.07.31 22:06:16.011 MSK INFO: Loaded 28000 instances: RasterToVector_Class147984 -- Parser.getInstance()
2018.07.31 22:06:16.056 MSK INFO: Loaded 29000 instances: RasterToVector_Class148984 -- Parser.getInstance()
2018.07.31 22:06:16.103 MSK INFO: Loaded 30000 instances: RasterToVector_Class149984 -- Parser.getInstance()
2018.07.31 22:06:16.152 MSK INFO: Loaded 31000 instances: RasterToVector_Class150984 -- Parser.getInstance()
2018.07.31 22:06:16.195 MSK INFO: Loaded 32000 instances: RasterToVector_Class151984 -- Parser.getInstance()
2018.07.31 22:06:16.252 MSK INFO: Loaded 33000 instances: RasterToVector_Class152984 -- Parser.getInstance()
2018.07.31 22:06:16.314 MSK INFO: Loaded 34000 instances: RasterToVector_Class153984 -- Parser.getInstance()
2018.07.31 22:06:16.374 MSK INFO: Loaded 35000 instances: RasterToVector_Class154984 -- Parser.getInstance()
2018.07.31 22:06:17.441 MSK INFO: Loaded 36000 instances: RasterToVector_Class155984 -- Parser.getInstance()
2018.07.31 22:06:17.486 MSK INFO: Loaded 37000 instances: RasterToVector_Class156984 -- Parser.getInstance()
2018.07.31 22:06:17.526 MSK INFO: Loaded 38000 instances: RasterToVector_Class157984 -- Parser.getInstance()
2018.07.31 22:06:17.565 MSK INFO: Loaded 39000 instances: RasterToVector_Class158984 -- Parser.getInstance()
2018.07.31 22:06:17.607 MSK INFO: Loaded 40000 instances: RasterToVector_Class159984 -- Parser.getInstance()
2018.07.31 22:06:17.648 MSK INFO: Loaded 41000 instances: RasterToVector_Class160984 -- Parser.getInstance()
2018.07.31 22:06:17.687 MSK INFO: Loaded 42000 instances: RasterToVector_Class161984 -- Parser.getInstance()
2018.07.31 22:06:17.727 MSK INFO: Loaded 43000 instances: RasterToVector_Class162984 -- Parser.getInstance()
2018.07.31 22:06:17.771 MSK INFO: Loaded 44000 instances: RasterToVector_Class163984 -- Parser.getInstance()
2018.07.31 22:06:17.813 MSK INFO: Loaded 45000 instances: RasterToVector_Class164984 -- Parser.getInstance()
2018.07.31 22:06:17.855 MSK INFO: Loaded 46000 instances: RasterToVector_Class165984 -- Parser.getInstance()
2018.07.31 22:06:17.898 MSK INFO: Loaded 47000 instances: RasterToVector_Class166984 -- Parser.getInstance()
2018.07.31 22:06:17.937 MSK INFO: Loaded 48000 instances: RasterToVector_Class167984 -- Parser.getInstance()
2018.07.31 22:06:17.978 MSK INFO: Loaded 49000 instances: RasterToVector_Class168984 -- Parser.getInstance()
2018.07.31 22:06:18.046 MSK INFO: Loaded 50000 instances: RasterToVector_Class169984 -- Parser.getInstance()
2018.07.31 22:06:18.090 MSK INFO: Loaded 51000 instances: RasterToVector_Class170984 -- Parser.getInstance()
2018.07.31 22:06:18.129 MSK INFO: Loaded 52000 instances: RasterToVector_Class171984 -- Parser.getInstance()
2018.07.31 22:06:18.168 MSK INFO: Loaded 53000 instances: RasterToVector_Class172984 -- Parser.getInstance()
2018.07.31 22:06:18.207 MSK INFO: Loaded 54000 instances: RasterToVector_Class173984 -- Parser.getInstance()
2018.07.31 22:06:18.590 MSK INFO: Loaded 55000 instances: RasterToVector_Class174984 -- Parser.getInstance()
2018.07.31 22:06:18.627 MSK INFO: Loaded 56000 instances: RasterToVector_Class175984 -- Parser.getInstance()
2018.07.31 22:06:18.667 MSK INFO: Loaded 57000 instances: RasterToVector_Class176984 -- Parser.getInstance()
2018.07.31 22:06:18.707 MSK INFO: Loaded 58000 instances: RasterToVector_Class177984 -- Parser.getInstance()
2018.07.31 22:06:18.745 MSK INFO: Loaded 59000 instances: RasterToVector_Class178984 -- Parser.getInstance()
2018.07.31 22:06:18.784 MSK INFO: Loaded 60000 instances: RasterToVector_Class179984 -- Parser.getInstance()
2018.07.31 22:06:18.824 MSK INFO: Loaded 61000 instances: RasterToVector_Class180984 -- Parser.getInstance()
2018.07.31 22:06:18.873 MSK INFO: Loaded 62000 instances: RasterToVector_Class181984 -- Parser.getInstance()
2018.07.31 22:06:18.912 MSK INFO: Loaded 63000 instances: RasterToVector_Class182984 -- Parser.getInstance()
2018.07.31 22:06:18.951 MSK INFO: Loaded 64000 instances: RasterToVector_Class183984 -- Parser.getInstance()
2018.07.31 22:06:18.992 MSK INFO: Loaded 65000 instances: RasterToVector_Class184984 -- Parser.getInstance()
2018.07.31 22:06:19.032 MSK INFO: Loaded 66000 instances: RasterToVector_Class185984 -- Parser.getInstance()
2018.07.31 22:06:19.070 MSK INFO: Loaded 67000 instances: RasterToVector_Class186984 -- Parser.getInstance()
2018.07.31 22:06:19.109 MSK INFO: Loaded 68000 instances: RasterToVector_Class187984 -- Parser.getInstance()
2018.07.31 22:06:19.150 MSK INFO: Loaded 69000 instances: RasterToVector_Class188984 -- Parser.getInstance()
2018.07.31 22:06:19.188 MSK INFO: Loaded 70000 instances: RasterToVector_Class189984 -- Parser.getInstance()
2018.07.31 22:06:19.227 MSK INFO: Loaded 71000 instances: RasterToVector_Class190984 -- Parser.getInstance()
2018.07.31 22:06:19.301 MSK INFO: Loaded 72000 instances: RasterToVector_Class191984 -- Parser.getInstance()
2018.07.31 22:06:19.342 MSK INFO: Loaded 73000 instances: RasterToVector_Class192984 -- Parser.getInstance()
2018.07.31 22:06:19.383 MSK INFO: Loaded 74000 instances: RasterToVector_Class193984 -- Parser.getInstance()
2018.07.31 22:06:19.422 MSK INFO: Loaded 75000 instances: RasterToVector_Class194984 -- Parser.getInstance()
2018.07.31 22:06:21.137 MSK INFO: Loaded 76000 instances: RasterToVector_Class195984 -- Parser.getInstance()
2018.07.31 22:06:21.174 MSK INFO: Loaded 77000 instances: RasterToVector_Class196984 -- Parser.getInstance()
2018.07.31 22:06:21.213 MSK INFO: Loaded 78000 instances: RasterToVector_Class197984 -- Parser.getInstance()
2018.07.31 22:06:21.253 MSK INFO: Loaded 79000 instances: RasterToVector_Class198984 -- Parser.getInstance()
2018.07.31 22:06:21.295 MSK INFO: Loaded 80000 instances: RasterToVector_Class199984 -- Parser.getInstance()
2018.07.31 22:06:21.336 MSK INFO: Loaded 81000 instances: RasterToVector_Class200894 -- Parser.getInstance()
2018.07.31 22:06:21.379 MSK INFO: Loaded 82000 instances: RasterToVector_Class201803 -- Parser.getInstance()
2018.07.31 22:06:21.421 MSK INFO: Loaded 83000 instances: RasterToVector_Class202712 -- Parser.getInstance()
2018.07.31 22:06:21.461 MSK INFO: Loaded 84000 instances: RasterToVector_Class203621 -- Parser.getInstance()
2018.07.31 22:06:21.501 MSK INFO: Loaded 85000 instances: RasterToVector_Class204531 -- Parser.getInstance()
2018.07.31 22:06:21.541 MSK INFO: Loaded 86000 instances: RasterToVector_Class205440 -- Parser.getInstance()
2018.07.31 22:06:21.581 MSK INFO: Loaded 87000 instances: RasterToVector_Class20635 -- Parser.getInstance()
2018.07.31 22:06:21.621 MSK INFO: Loaded 88000 instances: RasterToVector_Class207259 -- Parser.getInstance()
